x1,x2,x3,x4,x5,x6,x7,x14,x15,x16,y1,Rating
6.1,8.12,3.19,0.42,0.15,0.29,0.24,0.87,1.43,1.84,32.55,0
6.1,8.12,3.19,0.42,0.15,0.29,0.24,0.80,1.43,1.68,33.72,0
6.1,8.12,3.19,0.42,0.15,0.29,0.24,0.87,1.43,1.68,33.88,0
6.1,8.12,3.21,0.42,0.15,0.29,0.24,0.87,1.43,1.68,33.97,0
6.1,8.12,3.19,0.42,0.31,0.29,0.24,0.87,1.43,1.68,35.2,0
6.1,8.12,3.19,0.55,0.15,0.29,0.24,0.87,1.43,1.68,36.06,0
6.1,8.91,3.19,0.42,0.15,0.29,0.24,0.87,1.43,1.68,36.38,0
6.1,8.12,3.19,0.42,0.15,0.29,0.56,0.87,1.43,1.68,38.11,0
6.29,8.95,3.60,0.51,0.28,0.26,0.38,0.52,1.42,1.65,39.05,0
6.55,9.17,3.35,0.49,0.36,0.30,0.33,0.42,1.42,1.7,39.72,0
6.74,8.71,3.22,0.43,0.11,0.21,0.38,0.78,1.44,1.6,42.75,0
6.94,8.12,3.19,0.42,0.15,0.29,0.24,0.87,1.43,1.68,37.47,0
7.21,8.71,3.22,0.43,0.11,0.21,0.15,0.78,1.44,1.6,43.3,0
